Date,Actual_Revenue,Forecast_Revenue,Calculated_10pct_Budget,Official_Annual_Budget
2022-02-01,23882719.5,,,
2022-03-01,23709035.4,,,
2022-04-01,24853382.0,,,
2022-05-01,25662165.8,,,
2022-06-01,23818794.8,,,
2022-07-01,23491988.9,,,
2022-08-01,25408229.1,,,
2022-09-01,25459497.5,,,
2022-10-01,24259835.7,,,
2022-11-01,26268221.0,,,
2022-12-01,25686587.3,,,
2023-01-01,25525914.6,,,
2023-02-01,23027431.0,,,
2023-03-01,24360945.4,,,
2023-04-01,23744217.1,,,
2023-05-01,24995904.4,,,
2023-06-01,24528391.8,,,
2023-07-01,24808203.9,,,
2023-08-01,26155634.2,,,
2023-09-01,24662586.1,,,
2023-10-01,25466197.5,,,
2023-11-01,25573136.2,,,
2023-12-01,25562148.2,,,
2024-01-01,24862829.0,,,
2024-02-01,23151247.0,,,
2024-03-01,26420512.0,,,
2024-04-01,23179165.9,,,
2024-05-01,25265324.8,,,
2024-06-01,24804170.5,,,
2024-07-01,24814997.7,,,
2024-08-01,25082099.9,,,
2024-09-01,24551560.4,,,
2024-10-01,25896129.8,,,
2024-11-01,25078997.8,,,
2024-12-01,24976635.2,,,
2025-01-01,24017201.9,,,
2025-02-01,21241586.2,,,
2025-03-01,26123159.3,,,
2025-04-01,23447990.0,,,
2025-05-01,26348721.5,,,
2025-06-01,23761335.6,,,
2025-07-01,24070011.3,,,
2025-08-01,25301062.6,,,
2025-09-01,24758657.4,,,
2025-10-01,25366709.2,,,
2025-11-01,24364844.8,,,
2025-12-01,25022557.0,,,
2026-01-01,24685185.2,,,
2026-02-01,23444767.3,,,
2026-01-01,,23673978.56,26041376.42,62700262.349999994
2026-02-01,,20938028.43,23031831.27,62700262.349999994
2026-03-01,,25749840.29,28324824.32,62700262.349999994
2026-04-01,,23112901.11,25424191.22,62700262.349999994
2026-05-01,,25972179.04,28569396.94,62700262.349999994
2026-06-01,,23421768.77,25763945.65,62700262.349999994
2026-07-01,,23726033.27,26098636.6,62700262.349999994
2026-08-01,,24939491.95,27433441.14,62700262.349999994
2026-09-01,,24404838.12,26845321.93,62700262.349999994
2026-10-01,,25004200.41,27504620.45,62700262.349999994
2026-11-01,,24016653.39,26418318.73,62700262.349999994
2026-12-01,,24664966.4,27131463.04,62700262.349999994
