State,Total_Revenue,Order_Count,Avg_Order_Value,Unique_Orders
California,228785436.0,12000,19065.45,12000
Illinois,111050965.7,5682,19544.34,5682
Florida,90204679.5,4601,19605.45,4601
Texas,84011903.0,4289,19587.76,4289
New York,55534960.0,2829,19630.6,2829
Indiana,54601690.2,2830,19293.88,2830
New Jersey,46830956.5,2378,19693.42,2378
Connecticut,44251228.7,2264,19545.6,2264
Michigan,39025315.8,2039,19139.44,2039
Massachusetts,35011942.1,1768,19803.13,1768
Washington,28915853.3,1536,18825.43,1536
Colorado,27683776.9,1410,19633.88,1410
Ohio,25214518.7,1288,19576.49,1288
Minnesota,24520928.0,1319,18590.54,1319
North Carolina,24123068.6,1267,19039.52,1267
Arizona,23388246.1,1254,18650.91,1254
Virginia,21385026.5,1118,19127.93,1118
Georgia,20726912.3,1090,19015.52,1090
Maryland,19361780.6,1011,19151.12,1011
Pennsylvania,19228068.7,1012,19000.07,1012
Utah,17914393.0,919,19493.35,919
Missouri,16878358.6,852,19810.28,852
Oregon,16100106.7,851,18919.04,851
Wisconsin,14586503.0,760,19192.77,760
Tennessee,14123365.5,766,18437.81,766
Iowa,13664576.3,735,18591.26,735
Nevada,12154898.8,632,19232.43,632
Oklahoma,11673343.0,607,19231.21,607
Louisiana,10996254.4,538,20439.13,538
Alabama,10697648.8,593,18039.88,593
Kansas,10222002.4,528,19359.85,528
Arkansas,9754690.8,525,18580.36,525
South Carolina,7338188.4,365,20104.63,365
Idaho,7080091.0,387,18294.81,387
Nebraska,4936298.7,251,19666.53,251
New Mexico,4934610.3,267,18481.69,267
Kentucky,4415434.0,224,19711.76,224
North Dakota,3939981.9,203,19408.78,203
Rhode Island,3562410.1,193,18458.08,193
Montana,3415070.4,180,18972.61,180
Mississippi,3399265.1,186,18275.62,186
New Hampshire,2382365.9,126,18907.67,126
Wyoming,1769825.1,104,17017.55,104
South Dakota,1681224.3,101,16645.79,101
District of Columbia,1674859.3,83,20179.03,83
Maine,1567284.1,73,21469.65,73
Delaware,1248591.9,70,17837.03,70
